UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
179,May 10 2015,DOG,American Pit Bull Mix / Pit Bull Mix,3,F,false,Brooklyn,
180,May 12 2015,DOG,American Pit Bull Mix / Pit Bull Mix,5,M,true,Brooklyn,11213
181,May 12 2015,DOG,Bloodhound,4,M,true,Brooklyn,11231
182,May 12 2015,DOG,Jack Russ,10,M,true,Brooklyn,11215
183,May 14 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11211
184,May 14 2015,DOG,"Cocker Spaniel, American",10,M,true,Brooklyn,11220
186,May 14 2015,DOG,American Pit Bull Terrier/Pit Bull,6,M,false,Brooklyn,11232
187,May 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,
188,April 28 2015,DOG,American Pit Bull Mix / Pit Bull Mix,1,M,true,Brooklyn,11234
189,May 15 2015,DOG,Cocker Spaniel Crossbreed,,M,false,Brooklyn,11205
190,May 18 2015,DOG,American Staffordshire Terrier,2,M,false,Brooklyn,11211
191,May 18 2015,DOG,American Staffordshire Terrier,2,M,false,Brooklyn,11211
192,January 08 2015,DOG,American Pit Bull Terrier/Pit Bull,1,M,true,Brooklyn,11224
193,May 12 2015,DOG,Cane Corso,5,F,true,Brooklyn,11233
194,May 05 2015,DOG,TERRIER,,U,false,Brooklyn,
195,May 16 2015,DOG,BORDER COLLIE/JACK RUSSELL,11M,F,true,Brooklyn,
196,May 06 2015,DOG,CORGI,,M,false,Brooklyn,11222
197,May 21 2015,DOG,Shih Tzu,,U,false,Brooklyn,11229
198,May 20 2015,DOG,MUTT,1,F,true,Brooklyn,11201
199,May 24 2015,DOG,MIXED,2,M,true,Brooklyn,
200,May 24 2015,DOG,PIT BULL/LAB X,2,F,false,Brooklyn,11236
201,May 24 2015,DOG,PIT BULL/LAB X,2,F,false,Brooklyn,11236
202,May 24 2015,DOG,Labrador Retriever,,U,false,Brooklyn,11215
203,May 25 2015,DOG,Labrador Retriever,3,F,false,Brooklyn,11234
204,May 25 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,
205,May 23 2015,DOG,"Mastiff, Tibetan",1,M,true,Brooklyn,11214
206,May 23 2015,DOG,MALTESE MIX,4,M,true,Brooklyn,
207,May 24 2015,DOG,SCHNAUZER,,M,false,Brooklyn,11215
208,May 28 2015,DOG,Pit Bull,,U,false,Brooklyn,11237
209,May 24 2015,DOG,Pit Bull,,U,false,Brooklyn,11221
210,May 23 2015,DOG,American Pit Bull Mix / Pit Bull Mix,6,M,true,Brooklyn,11205
211,May 28 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11213
212,May 28 2015,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,false,Brooklyn,11236
213,May 26 2015,DOG,Saint Bernard,,U,false,Brooklyn,11214
214,May 28 2015,DOG,Chihuahua,,U,false,Brooklyn,11208
215,May 30 2015,DOG,West High White Terrier,4,M,false,Brooklyn,11224
216,May 30 2015,DOG,West High White Terrier,4,M,false,Brooklyn,11224
217,May 31 2015,DOG,Chihuahua,1,M,false,Brooklyn,11207
218,May 30 2015,DOG,"Collie, Border",,U,false,Brooklyn,11211
219,May 29 2015,DOG,Labrador Retriever Crossbreed,8,F,true,Brooklyn,11229
220,May 31 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,
221,June 01 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11207
222,June 02 2015,DOG,Chow Chow,1,M,false,Brooklyn,11233
223,June 02 2015,DOG,Doberman Pinscher,7,M,true,Brooklyn,11228
224,June 01 2015,DOG,Yorkshire Terrier,2,M,false,Brooklyn,11217
225,May 27 2015,DOG,TEACUP YORKIE,,U,false,Brooklyn,
226,June 03 2015,DOG,SHORKY,8,M,true,Brooklyn,11238
227,May 31 2015,DOG,HAVANESE X,4,M,true,Brooklyn,11236
228,May 27 2015,DOG,BLUE HEELER X,9,M,true,Brooklyn,11237
229,June 04 2015,DOG,Pit Bull,3,F,true,Brooklyn,11226
230,June 04 2015,DOG,American Pit Bull Terrier/Pit Bull,4,M,false,Brooklyn,11226
231,June 04 2015,DOG,Yorkshire Terrier,2,M,true,Brooklyn,11214
232,June 06 2015,DOG,Pit Bull,,U,false,Brooklyn,
