,id,breed,intake_type,intake_subtype,date_in,condition,outcome,outcome_sub,date_out
394,A1067533,DOMESTIC SH,STRAY,AT LARGE,1576627200.0,APP WNL,TRANSFER,SPAY NEUTER NETWORK,1576713600.0
395,A1092286,LABRADOR RETR,STRAY,AT LARGE,1577836800.0,APP WNL,ADOPTION,WALK IN,1578787200.0
396,A1088805,SIBERIAN HUSKY,STRAY,WEB,1574035200.0,NORMAL,FOUND EXP,OTHER,1576800000.0
397,A1088275,DOMESTIC SH,FOSTER,RETURN,1576108800.0,APP SICK,ADOPTION,WALK IN,1576540800.0
398,A1093392,PIT BULL,FOSTER,DIED,1581033600.0,DEAD,DEAD ON ARRIVAL,DISPOSAL,1581033600.0
399,A1091192,CHIHUAHUA SH,STRAY,AT LARGE,1576627200.0,APP WNL,RETURNED TO OWNER,FIELD,1576627200.0
400,A0997597,PIT BULL,TREATMENT,HEART WORM,1576627200.0,APP WNL,TREATMENT,COMPLETED,1576713600.0
401,A1066280,LABRADOR RETR,OWNER SURRENDER,GENERAL,1575936000.0,APP WNL,ADOPTION,EAC,1576800000.0
402,A1090537,LABRADOR RETR,STRAY,AT LARGE,1575936000.0,APP INJ,EUTHANIZED,BEHAVIOR,1576540800.0
403,A1101265,DOMESTIC SH,TREATMENT,SPAY/NEUT,1592611200.0,APP WNL,TREATMENT,COMPLETED,1592611200.0
404,A1091093,AUST CATTLE DOG,STRAY,AT LARGE,1576540800.0,APP WNL,RETURNED TO OWNER,WALK IN,1576627200.0
405,A1093123,PIT BULL,STRAY,CONFINED,1578700800.0,APP WNL,ADOPTION,WALK IN,1579824000.0
406,A1091041,BELG MALINOIS,STRAY,CONFINED,1576454400.0,UNKNOWN,ADOPTION,PROMOTION,1576800000.0
407,A1087896,PEKINGESE,STRAY,AT LARGE,1576627200.0,APP WNL,RETURNED TO OWNER,FIELD,1576627200.0
408,A1091891,PARSON RUSS TER,OWNER SURRENDER,GENERAL,1577404800.0,APP WNL,TRANSFER,TRANSPORT,1577664000.0
409,A1020292,YORKSHIRE TERR,STRAY,AT LARGE,1578700800.0,APP WNL,RETURNED TO OWNER,WALK IN,1578787200.0
410,A1101535,ALASKAN HUSKY,STRAY,WEB,1589760000.0,NORMAL,LOST EXP,OTHER,1592611200.0
411,A1088720,PIT BULL,OWNER SURRENDER,RETURN30,1576195200.0,APP WNL,ADOPTION,EAC,1576540800.0
412,A1091132,BORDER COLLIE,OWNER SURRENDER,GENERAL,1576540800.0,UNDERAGE,FOSTER,UNDERAGE,1576540800.0
413,A1067348,PIT BULL,STRAY,AT LARGE,1576368000.0,APP WNL,ADOPTION,OFFSITE,1576627200.0
414,A1091181,DACHSHUND,STRAY,AT LARGE,1576627200.0,APP WNL,RETURNED TO OWNER,FIELD,1576627200.0
415,A1090122,GERM SHEPHERD,STRAY,CONFINED,1575504000.0,UNKNOWN,ADOPTION,WALK IN,1576540800.0
416,A1081349,CHOW CHOW,TREATMENT,HEART WORM,1575417600.0,APP WNL,TREATMENT,COMPLETED,1575417600.0
417,A1095103,DACHSHUND,OWNER SURRENDER,GENERAL,1580688000.0,APP WNL,ADOPTION,WALK IN,1581033600.0
418,A1091194,PIT BULL,STRAY,AT LARGE,1576627200.0,APP WNL,ADOPTION,WALK IN,1576713600.0
419,A1090213,CHIHUAHUA SH,STRAY,AT LARGE,1575590400.0,APP WNL,TRANSFER,GENERAL,1576627200.0
420,A1095420,CHIHUAHUA SH,STRAY,AT LARGE,1581033600.0,APP WNL,RETURNED TO OWNER,FIELD,1581033600.0
421,A1088904,LABRADOR RETR,STRAY,WEB,1574121600.0,NORMAL,LOST EXP,OTHER,1576800000.0
422,A1091016,PIT BULL,OWNER SURRENDER,GENERAL,1576368000.0,APP WNL,ADOPTION,PROMOTION,1576540800.0
423,A1003128,GERM SHEPHERD,STRAY,AT LARGE,1577404800.0,APP INJ,TRANSFER,MEDICAL-CONTAGIOUS,1577664000.0
424,A1089209,PIT BULL,FOSTER,SURGERY,1576540800.0,APP WNL,FOSTER,SURGERY,1576540800.0
425,A0707949,BOSTON TERRIER,OWNER SURRENDER,DEAD ON ARRIVAL,1579824000.0,DEAD,DEAD ON ARRIVAL,DISPOSAL,1579824000.0
426,A1095087,PIT BULL,STRAY,AT LARGE,1580688000.0,APP WNL,ADOPTION,WALK IN,1581033600.0
427,A1088219,BOXER,OWNER SURRENDER,GENERAL,1573516800.0,APP WNL,ADOPTION,OFFSITE,1576540800.0
428,A0968522,GERM SHEPHERD,STRAY,AT LARGE,1579910400.0,APP WNL,RETURNED TO OWNER,FIELD,1579910400.0
429,A1043486,LABRADOR RETR,STRAY,AT LARGE,1576281600.0,APP WNL,ADOPTION,WALK IN,1576713600.0
430,A1096237,PIT BULL,CONFISCATED,QUARANTINE,1581897600.0,APP WNL,RETURNED TO OWNER,WALK IN,1582675200.0
431,A1090820,DOMESTIC SH,STRAY,CONFINED,1576195200.0,APP WNL,TRANSFER,SPAY NEUTER NETWORK,1576713600.0
432,A1071959,GREAT PYRENEES,OWNER SURRENDER,FIELD,1584144000.0,APP WNL,ADOPTION,EAC,1584403200.0
433,A1092072,GERM SHEPHERD,STRAY,AT LARGE,1577664000.0,APP WNL,RETURNED TO OWNER,FIELD,1577664000.0
434,A1095799,GERM SHEPHERD,STRAY,AT LARGE,1581465600.0,APP WNL,ADOPTION,WALK IN,1582675200.0
435,A1092143,POODLE MIN,STRAY,AT LARGE,1577664000.0,APP WNL,RETURNED TO OWNER,FIELD,1577664000.0
436,A1093104,CHIHUAHUA LH,STRAY,AT LARGE,1578700800.0,APP WNL,ADOPTION,WALK IN,1579046400.0
437,A1076323,DOMESTIC SH,OWNER SURRENDER,GENERAL,1576540800.0,APP WNL,ADOPTION,WALK IN,1576627200.0
438,A1093981,DOMESTIC SH,STRAY,AT LARGE,1579651200.0,APP WNL,ADOPTION,WALK IN,1579824000.0
439,A1091788,DOMESTIC SH,STRAY,AT LARGE,1577318400.0,APP WNL,ADOPTION,WALK IN,1577664000.0
440,A1092773,BEAGLE,STRAY,WEB,1578268800.0,NORMAL,LOST EXP,OTHER,1581033600.0
441,A1089667,GERM SHEPHERD,STRAY,WEB,1574985600.0,NORMAL,FOUND EXP,OTHER,1577664000.0
442,A1039981,LABRADOR RETR,OWNER SURRENDER,GENERAL,1575417600.0,APP WNL,ADOPTION,OFFSITE,1576540800.0
443,A1088903,DOMESTIC SH,STRAY,WEB,1573776000.0,NORMAL,LOST EXP,OTHER,1576800000.0
444,A1091195,PIT BULL,STRAY,AT LARGE,1576627200.0,APP WNL,ADOPTION,WALK IN,1576713600.0
445,A1079079,PIT BULL,OWNER SURRENDER,GENERAL,1576368000.0,APP WNL,ADOPTION,WALK IN,1576713600.0
446,A1095354,PARSON RUSS TER,OWNER SURRENDER,GENERAL,1580947200.0,APP WNL,TRANSFER,UNDERAGE,1581033600.0
447,A1092064,LABRADOR RETR,STRAY,AT LARGE,1577664000.0,APP WNL,RETURNED TO OWNER,FIELD,1577664000.0
448,A1092076,SIBERIAN HUSKY,STRAY,AT LARGE,1577664000.0,APP WNL,RETURNED TO OWNER,FIELD,1577664000.0
