cond,age,color,breed,target
injured,Senior,fawn,chihuahua,1
normal,Adult,gold,chow chow,0
other,Young,brown,boxer,1
normal,Adult,blue,pit bull,1
normal,Adult,red,chihuahua,1
normal,Adult,chocolate,german shepherd,1
normal,Young,brown,pit bull,1
normal,Adult,cream,toy poodle,0
injured,Adult,tan,labrador retriever,1
normal,Young,tan,greyhound,0
normal,Adult,black,border collie,0
normal,Adult,white,australian cattle dog,1
normal,Adult,tan,cardigan welsh corgi,1
normal,Young,white,pit bull,1
other,Adult,white,miniature poodle,1
normal,Adult,white,pointer,1
normal,Young,brown,german shepherd,0
normal,Adult,white,toy poodle,0
injured,Adult,white,pit bull,1
normal,Senior,black,akita,1
normal,Adult,white,anatolian sheepdog,0
normal,Young,yellow,labrador retriever,0
normal,Young,black,pit bull,1
normal,Young,brown,saluki,1
normal,Young,black,rottweiler,0
injured,Adult,fawn,boxer,0
normal,Adult,black,rottweiler,1
normal,Young,gray,miniature schnauzer,0
normal,Young,brown,boxer,0
normal,Adult,blue,pit bull,1
normal,Adult,gold,golden retriever,1
normal,Adult,chocolate,rottweiler,0
normal,Adult,blue,pit bull,0
normal,Adult,fawn,pit bull,0
normal,Adult,blue,australian cattle dog,0
normal,Adult,blue,australian cattle dog,0
normal,Adult,red,rhodesian ridgeback,0
normal,Young,red,pit bull,0
normal,Adult,brown,labrador retriever,0
normal,Adult,tricolor,chihuahua,0
normal,Young,yellow,chihuahua,1
normal,Young,blue,pit bull,1
normal,Adult,black,australian cattle dog,1
normal,Adult,black,australian shepherd,1
normal,Young,tan,belgian malinois,0
normal,Adult,brown,golden retriever,0
normal,Senior,white,fox terrier,1
normal,Adult,black,dachshund,0
normal,Adult,brown,boxer,1
normal,Adult,black,cairn terrier,1
normal,Adult,white,jack russell terrier,1
normal,Baby,chocolate,labrador retriever,0
normal,Adult,blue,pit bull,0
normal,Adult,black,labrador retriever,0
normal,Adult,sable,german shepherd,0
normal,Adult,brown,australian cattle dog,0
normal,Adult,buff,great pyrenees,1
normal,Young,brown,pit bull,1
normal,Young,black,labrador retriever,0
normal,Adult,black,pit bull,1
normal,Adult,black,pit bull,1
normal,Adult,cream,labrador retriever,0
normal,Young,black,labrador retriever,0
normal,Adult,brown,miniature poodle,0
normal,Adult,brown,pit bull,0
normal,Adult,blue,pit bull,0
normal,Young,black,labrador retriever,0
normal,Adult,white,pit bull,0
normal,Young,brown,anatolian sheepdog,0
normal,Adult,brown,bulldog,1
normal,Young,brown,bulldog,0
normal,Adult,black,german shepherd,0
normal,Adult,tan,chihuahua,0
normal,Adult,brown,pit bull,0
normal,Young,brown,pit bull,1
normal,Adult,black,pit bull,0
normal,Adult,white,great pyrenees,0
normal,Adult,blue,pit bull,0
normal,Young,brown,dachshund,0
normal,Adult,buff,siberian husky,0
normal,Adult,tricolor,chihuahua,0
normal,Young,white,chihuahua,0
normal,Young,tan,pit bull,1
normal,Adult,white,jack russell terrier,0
normal,Young,brown,american staffordshire terrier,1
normal,Adult,white,german shepherd,0
normal,Young,red,vizsla,0
normal,Adult,white,australian cattle dog,0
normal,Young,tan,pit bull,0
normal,Adult,white,labrador retriever,0
normal,Young,blue,american staffordshire terrier,1
normal,Young,white,harrier,1
normal,Baby,white,pit bull,0
normal,Young,white,pit bull,0
normal,Baby,black,labrador retriever,0
normal,Young,white,pit bull,1
normal,Baby,black,labrador retriever,1
normal,Baby,black,labrador retriever,1
normal,Baby,black,labrador retriever,1
normal,Baby,black,labrador retriever,1
normal,Adult,brown,mastiff,1
normal,Young,black,boxer,1
normal,Young,black,miniature pinscher,0
normal,Baby,cream,chihuahua,0
normal,Young,blue,australian cattle dog,0
nursing,Baby,white,chinese shar pei,1
nursing,Baby,black,chinese shar pei,1
nursing,Baby,white,chinese shar pei,1
nursing,Baby,black,chinese shar pei,1
nursing,Baby,brown,chinese shar pei,1
normal,Young,black,australian shepherd,0
normal,Adult,white,pit bull,1
normal,Young,tricolor,australian cattle dog,0
normal,Baby,black,labrador retriever,1
normal,Adult,brown,pit bull,1
normal,Adult,black,rottweiler,1
normal,Baby,white,border terrier,0
normal,Young,black,border collie,0
normal,Adult,blue,pit bull,0
normal,Adult,black,rottweiler,1
normal,Young,red,italian greyhound,0
normal,Young,red,jack russell terrier,0
normal,Adult,brown,border collie,1
normal,Adult,red,pit bull,1
normal,Adult,brown,pit bull,1
injured,Young,black,labrador retriever,1
normal,Baby,white,pit bull,1
normal,Young,black,yorkshire terrier,0
normal,Adult,brown,pit bull,0
normal,Baby,black,labrador retriever,0
normal,Baby,black,labrador retriever,1
normal,Adult,blue,american staffordshire terrier,0
normal,Adult,red,australian cattle dog,1
normal,Baby,white,pit bull,0
normal,Adult,chocolate,dachshund,0
normal,Young,black,chihuahua,0
normal,Young,black,australian cattle dog,0
normal,Adult,red,australian cattle dog,0
normal,Young,brown,german shepherd,1
normal,Young,tan,basenji,1
normal,Adult,red,chow chow,1
normal,Adult,yellow,labrador retriever,1
normal,Adult,tan,labrador retriever,0
normal,Adult,black,pit bull,1
normal,Young,tricolor,chihuahua,0
normal,Adult,tan,bulldog,1
normal,Baby,tan,pit bull,0
normal,Adult,black,chihuahua,0
normal,Young,black,border collie,1
normal,Adult,black,border collie,1
normal,Young,white,pit bull,1
normal,Young,brown,pointer,1
normal,Young,brown,pit bull,1
normal,Young,white,pit bull,1
injured,Young,black,labrador retriever,1
injured,Young,brown,australian shepherd,1
normal,Young,red,dachshund,1
normal,Adult,black,chihuahua,0
normal,Baby,sable,german shepherd,1
normal,Young,white,bull terrier,0
injured,Adult,brown,labrador retriever,1
normal,Baby,brown,pug,0
normal,Adult,blue,pit bull,1
normal,Young,blue,australian cattle dog,0
injured,Baby,black,labrador retriever,0
normal,Adult,white,labrador retriever,0
normal,Adult,gold,chow chow,0
normal,Adult,red,rhodesian ridgeback,1
normal,Adult,white,bulldog,1
normal,Young,blue,australian cattle dog,0
normal,Young,brown,dachshund,1
normal,Young,black,labrador retriever,0
normal,Young,blue,australian cattle dog,0
normal,Adult,blue,collie,0
normal,Adult,tan,chihuahua,0
normal,Young,black,border collie,0
normal,Adult,black,chihuahua,1
normal,Adult,tricolor,basset hound,0
normal,Young,tan,german shepherd,1
normal,Young,black,pit bull,0
normal,Baby,buff,chihuahua,0
normal,Baby,tan,chihuahua,0
normal,Baby,black,chihuahua,0
normal,Baby,brown,chihuahua,0
normal,Young,fawn,dachshund,1
normal,Young,buff,cairn terrier,0
normal,Adult,buff,chihuahua,0
normal,Adult,buff,chihuahua,1
normal,Baby,brown,pit bull,1
normal,Baby,white,pointer,0
normal,Adult,black,pit bull,0
normal,Young,black,dachshund,0
normal,Adult,blue,pit bull,1
normal,Young,black,labrador retriever,1
normal,Adult,brown,pit bull,1
normal,Adult,brown,dachshund,0
injured,Adult,white,pit bull,1
normal,Adult,apricot,miniature poodle,0
normal,Adult,black,jack russell terrier,1
normal,Baby,brown,labrador retriever,0
normal,Young,brown,pit bull,1
normal,Baby,brown,plott hound,0
normal,Adult,black,australian cattle dog,1
normal,Adult,yellow,labrador retriever,1
normal,Young,buff,chihuahua,0
normal,Young,black,chihuahua,1
injured,Baby,black,border collie,0
normal,Young,brown,boxer,1
normal,Young,brown,australian cattle dog,0
normal,Adult,black,labrador retriever,1
normal,Young,tricolor,chihuahua,0
normal,Senior,tricolor,harrier,0
normal,Young,black,pit bull,1
nursing,Young,sable,german shepherd,1
nursing,Baby,black,german shepherd,1
normal,Adult,brown,boxer,1
normal,Adult,tan,pit bull,0
normal,Young,red,australian cattle dog,0
normal,Adult,brown,german shepherd,0
normal,Adult,brown,german shepherd,0
normal,Adult,blue,pit bull,1
