id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
47429,2/18/17 0:00,Abandoned,0,C17021438,9.8102E+14,Ellen,British Shorthair/Unknown,Grey,Cat,11 years 9 months.,Female,Office,3/5/17 0:00,Foster,0,4/26/17 0:00,Stray,,Died in care,0,0,0
47429,2/18/17 0:00,Abandoned,0,C17021438,9.8102E+14,Ellen,British Shorthair/Unknown,Grey,Cat,11 years 9 months.,Female,Office,4/26/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47432,2/18/17 0:00,Abandoned,0,R17021441,,Fitzgerald,American,Black,House Rabbit,3 years 9 months.,Male,Lobby,3/30/17 0:00,Foster,0,4/17/17 0:00,Stray,,Died in care,0,0,0
47432,2/18/17 0:00,Abandoned,0,R17021441,,Fitzgerald,American,Black,House Rabbit,3 years 9 months.,Male,Lobby,5/1/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47502,2/27/17 0:00,Marriage/Relationship split,0,D17021511,9.8102E+14,Zoey,Pitbull/Mix,Grey and White,Dog,2 years 8 months.,Female,Stray Dogs Beta,4/8/17 0:00,Adoption,0,5/5/17 0:00,Marriage/Relationship split,,Died in care,0,0,0
47502,2/27/17 0:00,Marriage/Relationship split,0,D17021511,9.8102E+14,Zoey,Pitbull/Mix,Grey and White,Dog,2 years 8 months.,Female,Stray Dogs Beta,6/1/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47510,2/28/17 0:00,Abandoned,0,C17021519,9.8102E+14,Maureen,Domestic Short Hair,Brown and Black,Cat,2 years 8 months.,Female,Adoptable Cat Big Colony,4/2/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47511,2/28/17 0:00,Abandoned,0,C17021520,9.8102E+14,Janet,DSH/Unknown,Grey,Cat,4 years 2 months.,Female,Adoptable Cat Small Colony,4/1/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47520,3/2/17 0:00,Abandoned,0,C17031529,9.8102E+14,Ruce,DSH/Unknown,Black and White,Cat,3 years 10 months.,Male,Adoptable Cat Big Colony,4/4/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47521,3/2/17 0:00,Abandoned,0,C17031530,9.8102E+14,Ramsay,DSH/Unknown,Orange and White,Cat,3 years 10 months.,Male,Adoptable Cat Kennels,4/7/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
