name,neighborhood,address,url,latitude,longitude,image,tags,categories
Mee Sum Pastry – University District,"Seattle, WA","4343 University Way NE, Seattle, WA 98105",https://intentionalist.com/b/mee-sum-pastry-university-district/,47.6610619,-122.3134961,https://intentionalist.com/wp-content/uploads/2019/07/324317-201709190013-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned']",['Bakeries']
Beetle Cafe,"Seattle, WA","4334 University Way NE, Seattle, WA 98105",https://intentionalist.com/b/beetle-cafe/,47.6607931,-122.3129269,https://intentionalist.com/wp-content/uploads/2019/07/IMG_6845-1242x932-150x150.jpg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Cafe']
Shiga’s Imports: One World Shop,University District,"4306 University Way NE, Seattle, WA 98105",https://intentionalist.com/b/shigas-import-shop/,47.6600428,-122.3128317,https://intentionalist.com/wp-content/uploads/2019/07/door-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Arts & Crafts']
sandylew,Downtown,"1408 1st Ave, Seattle, WA 98101",https://intentionalist.com/b/sandy-lew/,47.608292,-122.3391233,https://intentionalist.com/wp-content/uploads/2019/06/sandylew-150x150.jpg,"['Asian-Owned', 'Woman-Owned']",['Shopping']
Delish Ethiopian Cuisine,Hillman City,"5701 Rainier Ave S Ste A Seattle, WA 98118",https://intentionalist.com/b/delish-ethiopian-cuisine/,47.5509867,-122.2778628,https://intentionalist.com/wp-content/uploads/2019/06/delish-ethiopian-cuisine-150x150.jpg,"['Black-Owned', 'Family-Owned', 'Minority-Owned']",['Restaurants']
Chuan on Capitol,Capitol Hill,"601 E Pike St Ste#100, Seattle, WA 98122",https://intentionalist.com/b/chuan-on-capitol/,47.6139204,-122.3241405,https://intentionalist.com/wp-content/uploads/2019/06/ls-150x150.jpg,"['Asian-Owned', 'Minority-Owned']",['Restaurants']
Atulea,Capitol Hill,"1715 12th Ave #100, Seattle, WA 98122",https://intentionalist.com/b/atulea/,47.6169111,-122.3172023,https://intentionalist.com/wp-content/uploads/2019/06/atulea-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']","['Coffee, Tea & Juice']"
Ten Sushi,Uptown,"500 Mercer St, Seattle, WA 98109, USA",https://intentionalist.com/b/ten-sushi/,47.6250236,-122.347126,https://intentionalist.com/wp-content/uploads/2019/04/Ten-Sushi-150x150.jpg,"['Asian-Owned', 'Minority-Owned']",['Catering']
Golden Wheat Bakery — Central District,Central District,"2908 E Cherry St, Seattle, WA 98122",https://intentionalist.com/b/golden-wheat-bakery/,47.6081966,-122.2944794,https://intentionalist.com/wp-content/uploads/2019/04/Screen-Shot-2019-05-22-at-11.31.19-PM-150x150.png,"['Family-Owned', 'Latino-Owned', 'Minority-Owned']",['Bakeries']
Healthy Creations,"Seattle, WA","Seattle, WA, USA",https://intentionalist.com/b/healthy-creations/,47.6062095,-122.3320708,https://intentionalist.com/wp-content/uploads/2019/04/Healthy-Creations-150x150.jpg,"['Black-Owned', 'Vegan', 'Woman-Owned']",['Catering']
Young Tea,Chinatown ID,"609 S Weller St, Seattle, WA 98104",https://intentionalist.com/b/young-tea/,47.597343,-122.3260249,https://intentionalist.com/wp-content/uploads/2019/05/Young-Tea-150x150.jpg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']","['Coffee, Tea & Juice']"
Flow Fitness – South Lake Union,South Lake Union,"311 Terry Ave N, Seattle, WA 98109",https://intentionalist.com/b/flow-fitness/,47.6212666,-122.3375556,https://intentionalist.com/wp-content/uploads/2019/05/flow-fitness-150x150.jpg,"['Asian-Owned', 'Minority-Owned']",['Gyms & Yoga']
Hillman City Medical,Hillman City,"3828 S Graham St Suite A Seattle, WA 98118",https://intentionalist.com/b/hillman-city-medical/,47.5460841,-122.2842529,https://intentionalist.com/wp-content/uploads/2019/05/hillman-city-medical-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Health Services']
Rancho Bravo Tacos – Capitol Hill,Capitol Hill,"1001 E Pine St, Seattle, WA 98122",https://intentionalist.com/b/rancho-bravo-tacos-capitol-hill/,47.6151157,-122.318987,https://intentionalist.com/wp-content/uploads/2019/05/Rancho-Bravo-Capitol-Hill-150x150.jpg,"['Latino-Owned', 'Minority-Owned']",['Restaurants']
Cafe O’ Dessert,University District,"4727 University Way NE, Seattle, WA 98105",https://intentionalist.com/b/cafe-o-dessert/,47.6638125,-122.313449,https://intentionalist.com/wp-content/uploads/2019/05/F1396DD2-857D-4700-B976-DCDC9A4FB84F-150x150.jpeg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Dessert']
Sweet Alchemy – Ballard,Ballard,"1555 NW Market St #A, Seattle, WA 98107",https://intentionalist.com/b/sweet-alchemy-ballard/,47.6684996,-122.3786116,https://intentionalist.com/wp-content/uploads/2019/05/nGt9bFDJQRaTMrg0Ntf7tg-150x150.jpg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Dessert']
Los Agaves,Downtown,"1514, Market Ave #7, Seattle, WA 98101",https://intentionalist.com/b/los-agaves/,47.6091963,-122.3410269,https://intentionalist.com/wp-content/uploads/2019/05/los-agaves-150x150.jpg,"['Latino-Owned', 'Minority-Owned']",['Cafe']
Archipelago,Hillman City,"5607 Rainier Ave S, Seattle, WA 98118",https://intentionalist.com/b/archipelago/,47.5516957,-122.2782499,https://intentionalist.com/wp-content/uploads/2019/05/arch-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Restaurants']
Phở Bắc Súp Shop,Chinatown ID,"1240 S Jackson St, Seattle, WA 98144",https://intentionalist.com/b/pho-bac-sup-shop/,47.5995142,-122.3153998,https://intentionalist.com/wp-content/uploads/2019/04/pho-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Catering']
Caffe Torino,South Lake Union,"422 Yale Ave N B, Seattle, WA 98109, USA",https://intentionalist.com/b/caffe-torino/,47.6223153,-122.3301836,https://intentionalist.com/wp-content/uploads/2019/03/cafe-torino-150x150.jpg,"['Minority-Owned', 'Woman-Owned']",['Cafe']
Royal Palm,Roosevelt,"6417 Roosevelt Way NE # 201, Seattle, WA 98115",https://intentionalist.com/b/royal-palm/,47.6755862,-122.3177383,https://intentionalist.com/wp-content/uploads/2019/04/royal-palm-150x150.jpg,"['Asian-Owned', 'Minority-Owned']",['Restaurants']
Crawfish King,Chinatown ID,"725 South Lane Street, Seattle, WA 98104",https://intentionalist.com/b/crawfish-king/,47.596534,-122.3228305,https://intentionalist.com/wp-content/uploads/2019/04/56378064_2192749947458876_4899689268118552576_o-150x150.jpg,"['Asian-Owned', 'Minority-Owned']",['Restaurants']
