breed,classification,obey,reps_lower,reps_upper,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,purebred,breed_1,breed_2
basselier,,0.3,53.5,70.0,12.0,14.5,27.5,35.0,0,cavalier king charles spaniel,basset hound
basset retriever,,0.525,41.0,52.0,17.5,19.0,47.5,62.5,0,basset hound,golden retriever
basset shepherd,,0.525,41.0,52.0,18.0,20.0,57.5,70.0,0,basset hound,german shepherd
bassky,,0.3,53.5,70.0,17.0,18.5,40.0,55.0,0,basset hound,siberian husky
bassmatian,,0.39999999999999997,48.5,62.5,16.5,18.5,42.5,60.0,0,basset hound,dalmatian
basston,,0.3,53.5,70.0,14.0,14.5,27.5,37.5,0,basset hound,boston terrier
bassugg,,0.2,61.0,90.0,12.0,12.5,27.0,36.0,0,basset hound,pug
bea-tzu,,0.1,81.0,100.0,10.5,13.5,13.5,23.0,0,beagle,shih tzu
beabull,,0.1,81.0,100.0,12.5,16.0,34.0,45.0,0,beagle,bulldog
beacol,,0.39999999999999997,48.5,62.5,16.5,19.0,29.0,45.0,0,beagle,bearded collie
beagleman,,0.525,41.0,52.0,19.5,22.0,39.0,65.0,0,beagle,doberman pinscher
beaglemation,,0.39999999999999997,48.5,62.5,16.0,19.5,31.5,50.0,0,beagle,dalmatian
beagle chin,,0.2,61.0,90.0,10.5,13.5,11.0,20.5,0,beagle,japanese chin
beagle heeler,,0.525,41.0,52.0,15.0,18.0,26.5,37.5,0,beagle,australian cattle dog
beagle pit,,0.39999999999999997,48.5,62.5,15.0,17.5,29.0,40.0,0,beagle,pit bull
beagle point,,0.3,53.5,70.0,17.0,20.0,31.0,48.0,0,beagle,pointer
beagle shepherd,,0.525,41.0,52.0,17.5,21.0,46.5,60.0,0,beagle,german shepherd
beago,,0.525,41.0,52.0,17.0,20.0,36.5,52.5,0,beagle,golden retriever
beaski,,0.3,53.5,70.0,16.5,19.5,29.0,45.0,0,beagle,siberian husky
bedlington whippet,,0.5,26.0,40.0,16.5,19.0,22.5,26.5,0,bedlington terrier,whippet
belusky,,0.675,15.5,27.5,21.0,24.5,50.0,62.5,0,belgian malinois,siberian husky
berner chow,,0.475,43.0,57.5,21.0,24.5,65.0,82.5,0,bernese mountain dog,chow chow
berner dane,,0.675,15.5,27.5,27.5,29.5,102.5,135.0,0,great dane,bernese mountain dog
bernese cattle dog,,0.8999999999999999,3.0,9.5,20.0,23.5,60.0,77.5,0,bernese mountain dog,australian cattle dog
bernese rottie,,0.8999999999999999,3.0,9.5,22.5,27.0,87.5,110.0,0,bernese mountain dog,rottweiler
bichon-a-ranian,,0.675,15.5,27.5,10.75,11.75,6.5,12.5,0,bichon frise,pomeranian
bichon yorkie,,0.6,21.0,32.5,8.75,9.75,6.5,12.5,0,bichon frise,yorkshire terrier
black and tan coonshepherd,,0.725,13.5,22.0,22.5,26.5,62.5,82.5,0,black and tan coonhound,german shepherd
black and tan labhound,,0.725,13.5,22.0,22.0,25.5,52.5,77.5,0,black and tan coonhound,labrador retriever
blue spaniel,,0.8999999999999999,3.0,9.5,16.0,18.0,28.5,36.5,0,australian cattle dog,cocker spaniel
blue-tzu heeler,,0.525,41.0,52.0,12.5,15.5,22.0,30.5,0,australian cattle dog,shih tzu
bo-dach,,0.5,26.0,40.0,10.5,12.5,15.5,28.5,0,boston terrier,dachshund
bocker,,0.475,43.0,57.5,14.0,16.0,20.0,29.0,0,beagle,cocker spaniel
bodacion,,0.825,8.5,14.5,19.0,22.0,42.5,55.0,0,border collie,dalmatian
boglen terrier,,0.3,53.5,70.0,13.5,15.5,16.5,27.5,0,beagle,boston terrier
bogle,,0.3,53.5,70.0,17.0,20.5,41.5,50.0,0,beagle,boxer
borador,,0.95,1.0,4.0,20.0,22.5,47.5,60.0,0,border collie,labrador retriever
border akita collie,,0.725,13.5,22.0,22.5,24.5,60.0,80.0,0,border collie,akita
border-aussie,,0.725,13.5,22.0,18.5,22.0,40.0,50.0,0,australian shepherd,border collie
border aussie terrollie,,0.825,8.5,14.5,14.5,15.5,25.0,27.0,0,border collie,australian terrier
border basset,,0.525,41.0,52.0,16.5,17.5,40.0,45.0,0,border collie,basset hound
border beagle,,0.525,41.0,52.0,16.0,18.5,29.0,35.0,0,border collie,beagle
border chow,,0.525,41.0,52.0,19.0,21.5,42.5,47.5,0,border collie,chow chow
border collie bernard,,0.625,21.0,42.0,22.0,24.5,75.0,115.0,0,border collie,saint bernard
border collie bull staffy,,0.725,13.5,22.0,16.5,18.5,32.0,34.0,0,border collie,staffordshire bull terrier
border collie cocker,,0.8999999999999999,3.0,9.5,17.0,18.5,31.0,34.0,0,border collie,cocker spaniel
border collie lakeland,,0.625,21.0,42.0,16.0,17.5,27.5,28.5,0,border collie,lakeland terrier
border collie pit,,0.825,8.5,14.5,18.0,20.0,40.0,45.0,0,border collie,pit bull terrier
border collie pyrenees,,0.625,21.0,42.0,23.0,26.5,67.5,80.0,0,border collie,great pyrenees
border malamute collie,,0.725,13.5,22.0,21.0,23.0,57.5,62.5,0,border collie,alaskan malamute
border malamute terrier,,0.6,21.0,32.5,17.5,20.0,43.5,50.0,0,border terrier,alaskan malamute
border newfie,,0.825,8.5,14.5,22.5,24.5,70.0,95.0,0,border collie,newfoundland
border point,,0.725,13.5,22.0,20.0,22.5,42.0,53.0,0,border collie,pointer
border pom,,0.8999999999999999,3.0,9.5,15.5,16.5,21.5,23.5,0,border collie,pomeranian
border rottie,,0.95,1.0,4.0,20.5,24.0,65.0,75.0,0,border collie,rottweiler
border springer,,0.8999999999999999,3.0,9.5,19.5,20.5,42.5,47.5,0,border collie,english springer spaniel
border whipollie,,0.725,13.5,22.0,18.5,21.5,33.5,35.0,0,border collie,whippet
bordernese,,0.8999999999999999,3.0,9.5,21.0,24.0,62.5,75.0,0,bernese mountain dog,border collie
borollie,,0.8999999999999999,3.0,9.5,20.5,23.5,45.0,57.5,0,border collie,collie
boshih,,0.3,53.5,70.0,11.0,13.0,12.0,20.5,0,boston terrier,shih tzu
bosmaraner,,0.675,15.5,27.5,19.5,21.0,42.5,55.0,0,boston terrier,weimaraner
bossie,,0.5,26.0,40.0,16.0,19.0,27.5,42.5,0,boston terrier,australian shepherd
bostalian,,0.4,33.5,60.0,13.0,15.0,10.5,17.5,0,boston terrier,italian greyhound
bostchon,,0.5,26.0,40.0,11.75,13.25,12.5,21.5,0,boston terrier,bichon frise
bostie,,0.5,26.0,40.0,12.5,13.0,14.0,20.0,0,boston terrier,west highland white terrier
bostillon,,0.725,13.5,22.0,11.0,13.0,10.0,17.5,0,boston terrier,papillon
boston border collie,,0.725,13.5,22.0,16.5,18.0,27.5,32.5,0,boston terrier,border collie
boston boxer,,0.5,26.0,40.0,17.5,20.0,40.0,47.5,0,boston terrier,boxer
boston cattle dog,,0.725,13.5,22.0,15.5,17.5,25.0,35.0,0,australian cattle dog,boston terrier
boston chin,,0.4,33.5,60.0,11.0,13.0,9.5,18.0,0,boston terrier,japanese chin
boston huahua,,0.4,33.5,60.0,10.0,12.0,8.5,15.0,0,boston terrier,chihuahua
boston iggy,,0.4,33.5,60.0,13.0,15.0,10.5,17.5,0,boston terrier,italian greyhound
boston lab,,0.725,13.5,22.0,17.5,19.5,35.0,52.5,0,boston terrier,labrador retriever
boston malterrier,,0.4,33.5,60.0,11.0,12.5,9.5,15.5,0,boston terrier,maltese
boston spaniel,,0.675,15.5,27.5,14.5,15.5,18.5,26.5,0,boston terrier,cocker spaniel
boston yorkie,,0.6,21.0,32.5,11.0,11.5,9.0,16.0,0,boston terrier,yorkshire terrier
bouberman,,0.825,8.5,14.5,24.5,27.5,67.5,97.5,0,bouvier des flandres,doberman pinscher
bouvador,,0.825,8.5,14.5,22.0,25.5,65.0,87.5,0,bouvier des flandres,labrador retriever
boweimar,,0.675,15.5,27.5,23.0,26.0,67.5,77.5,0,boxer,weimaraner
box-a-pug,,0.4,33.5,60.0,15.5,18.0,39.5,46.0,0,boxer,pug
boxer bloodhound,,0.3,53.5,70.0,22.5,25.5,72.5,95.0,0,bloodhound,boxer
boxer chow,,0.3,53.5,70.0,20.0,23.5,55.0,62.5,0,boxer,chow chow
boxer shepherd,,0.725,13.5,22.0,21.5,25.5,70.0,80.0,0,boxer,german shepherd
boxer whippet,,0.5,26.0,40.0,19.5,23.5,46.0,50.0,0,boxer,whippet
boxachi,,0.4,33.5,60.0,13.5,17.0,33.5,37.5,0,boxer,chihuahua
boxador,,0.725,13.5,22.0,21.0,24.5,60.0,75.0,0,boxer,labrador retriever
boxane,,0.5,26.0,40.0,26.5,28.5,92.5,115.0,0,boxer,great dane
boxapoint,,0.675,15.5,27.5,20.5,26.0,57.5,75.0,0,boxer,german shorthaired pointer
boxer basset,,0.3,53.5,70.0,17.5,19.5,52.5,60.0,0,boxer,basset hound
boxerman,,0.725,13.5,22.0,23.5,26.5,62.5,85.0,0,boxer,doberman pinscher
boxita,,0.5,26.0,40.0,23.5,26.5,72.5,95.0,0,akita,boxer
boxmas,,0.3,53.5,70.0,24.0,27.5,120.0,130.0,0,boxer,mastiff
boxmatian,,0.6,21.0,32.5,20.0,24.0,55.0,70.0,0,boxer,dalmatian
boxollie,,0.675,15.5,27.5,21.5,25.5,57.5,72.5,0,boxer,collie
boxsky,,0.5,26.0,40.0,20.5,24.0,52.5,65.0,0,boxer,siberian husky
boxspring,,0.675,15.5,27.5,20.5,22.5,55.0,62.5,0,boxer,english springer spaniel
boxweiler,,0.725,13.5,22.0,21.5,26.0,77.5,90.0,0,rottweiler,boxer
brittany beagle,,0.475,43.0,57.5,15.0,18.5,24.0,35.0,0,brittany,beagle
buggs,,0.4,33.5,60.0,12.0,13.0,14.5,23.5,0,boston terrier,pug
bull chow terrier,,0.2,61.0,90.0,20.0,22.0,47.5,62.5,0,bull terrier,chow chow
bull daniff,,0.4,33.5,60.0,28.5,29.5,110.0,145.0,0,bullmastiff,great dane
bull greyhound terrier,,0.4,33.5,60.0,24.0,26.0,55.0,70.0,0,greyhound,bull terrier
bull heeler terrier,,0.625,21.0,42.0,19.0,21.0,42.5,57.5,0,bull terrier,australian cattle dog
bull mastweiler,,0.625,21.0,42.0,23.5,27.0,95.0,120.0,0,bullmastiff,rottweiler
bullbasset mastiff,,0.2,61.0,90.0,19.5,20.5,70.0,90.0,0,bullmastiff,basset hound
bullboxer pit,,0.6,21.0,32.5,19.0,22.0,52.5,60.0,0,boxer,american pit bull terrier
bullboxer staff,,0.6,21.0,32.5,19.0,22.0,52.5,60.0,0,boxer,american staffordshire terrier
