state,year,reporting_organizations,stray_at_large_feline,relinquished_by_owner_feline,intake_owner_intended_euthanasia_feline,transferred_in_from_agency_feline,other_intakes_feline,adoption_feline,returned_to_owner_feline,transfer_to_another_agency_feline,returned_to_field_feline,other_live_outcome_feline,died_in_care_feline,lost_in_care_feline,shelter_euthanasia_feline,outcome_owner_intended_euthanasia_feline,stray_at_large_canine,relinquished_by_owner_canine,intake_owner_intended_euthanasia_canine,transferred_in_from_agency_canine,other_intakes_canine,adoption_canine,returned_to_owner_canine,transfer_to_another_agency_canine,returned_to_field_canine,other_live_outcome_canine,died_in_care_canine,lost_in_care_canine,shelter_euthanasia_canine,outcome_owner_intended_euthanasia_canine
KS,2016,11,2470,3864,787,3167,288,6854,407,1159,39,76,165,7,1336,186,2789,3697,853,3933,353,6812,1302,1777,0,48,39,2,883,551
MT,2016,15,2988,2048,16,265,267,4464,363,103,50,53,96,0,402,47,2816,1761,2,805,274,3319,2057,69,9,11,15,2,142,60
WV,2018,9,3690,1157,2,139,137,2826,76,578,0,256,239,4,1043,2,3579,1407,1,343,212,2791,653,1717,0,76,67,3,173,2
ND,2018,6,1470,232,18,664,237,2178,93,118,116,43,38,4,113,0,493,391,23,303,199,1212,320,30,0,0,7,1,31,2
AZ,2016,54,16877,13456,1246,4136,2132,21231,629,6599,826,502,1095,189,5508,1182,45224,20220,4554,10768,5486,44699,11754,16500,5,24,831,235,7976,3589
NM,2016,25,7578,1940,174,1405,489,4569,254,1818,869,118,330,23,2108,176,16535,4311,795,1657,1468,6507,3460,6686,4,433,451,36,2290,790
VA,2017,51,6319,7122,87,8787,662,18245,417,1725,97,5,694,36,783,63,5732,5537,163,10249,1166,16014,3357,2139,0,3,162,12,664,147
NY,2016,73,31712,19502,1755,6237,1905,34900,1422,15154,744,335,1390,35,5585,1410,10541,10226,2268,6951,1456,17778,4210,4710,2,56,163,2,2731,2068
MS,2016,17,3323,3944,80,423,301,4560,156,521,213,184,358,196,1728,84,7841,5526,261,4233,503,6160,1345,8675,3,29,177,98,1576,303
NY,2018,73,26135,17425,1573,5101,2100,33561,1154,10178,1200,330,1177,61,3691,1588,8896,9048,2338,9059,1257,18607,3824,3726,0,43,157,11,1979,2242
TN,2018,49,13068,6394,197,2393,2330,14148,540,3561,1324,883,799,40,2698,191,16496,10436,528,3210,3509,15613,5495,9403,0,783,355,31,2158,485
ME,2017,11,3237,2501,18,1256,285,5618,389,299,20,117,179,0,240,27,1181,968,12,2216,353,3601,948,52,0,123,15,0,86,16
WA,2016,45,26463,12939,1466,12654,1996,37581,1383,5869,1171,339,982,58,6390,1393,20108,8516,2255,11479,1901,25945,11047,3020,3,50,183,27,1980,2187
MD,2016,28,9051,7065,438,1982,3527,11831,339,3775,1682,1195,404,68,2587,456,4323,4356,542,2200,1475,7527,1943,1729,0,170,74,4,1058,548
NJ,2017,26,9588,3349,17,1912,160,9048,284,2437,693,19,687,38,1499,17,2979,2221,36,6461,180,5790,1621,4369,0,13,73,2,482,33
MA,2018,26,4807,6753,681,3164,819,13464,600,185,143,33,146,23,1108,677,690,2791,927,3857,788,6681,575,332,2,5,20,6,625,924
NV,2017,18,9483,1411,631,904,1171,4685,635,3875,1352,18,170,36,2162,621,18905,2872,1915,1365,3456,8726,9188,5725,2,108,74,12,2467,1915
MN,2018,28,6976,10630,1075,3593,1784,17308,705,2911,1141,5,469,12,1423,1072,3420,4269,1373,9567,1529,15056,2357,1366,1,3,101,3,937,1367
OH,2017,41,16462,8859,594,3597,1792,22019,775,708,2174,254,726,6,2470,579,10032,5303,636,6474,2576,15982,3015,3315,1,89,174,6,1710,639
AK,2016,3,273,266,0,43,40,559,14,0,5,3,51,4,10,0,154,388,0,2,8,378,150,0,0,0,12,1,1,0
MN,2016,28,6718,9150,994,2742,1289,14855,540,2924,864,36,360,6,950,944,3313,4024,1091,8426,1699,12584,2245,1827,2,2,100,2,621,1060
OK,2018,18,1872,1354,7,2885,990,4495,84,928,1489,9,201,6,178,11,2914,2840,24,4807,766,6587,1069,3262,2,10,169,18,294,20
CA,2016,155,113907,22891,3753,15913,4081,80368,3629,20329,10102,2091,3789,567,34344,4733,112770,33872,9894,20545,9447,88388,39411,25992,54,752,1105,785,18929,9777
OK,2017,18,1984,1212,13,2972,314,4436,69,601,670,15,149,29,244,8,3021,2277,27,4603,1103,6436,945,3163,0,47,171,12,364,28
AK,2018,3,320,269,0,32,36,620,16,11,1,1,27,0,5,0,37,635,0,3,0,666,28,0,0,1,24,0,1,0
AR,2017,16,2576,478,0,16,127,2730,136,90,41,27,129,5,159,0,4269,1212,25,161,294,3333,1556,879,0,24,70,1,55,1
IN,2016,37,20478,9698,558,2611,2359,17705,846,5256,1909,104,1400,64,7801,565,15712,8750,1096,2982,3367,13601,7774,5779,1,42,150,25,3621,1113
IA,2016,10,4834,3877,428,515,1056,7318,469,214,1,85,331,19,1576,426,2851,2231,628,643,1271,3761,2457,262,0,1,19,0,557,627
NH,2017,16,1961,2574,121,2030,324,5970,252,129,13,100,114,1,319,53,1194,902,77,2457,232,3333,977,71,2,14,14,0,212,61
OR,2018,40,11980,9922,623,8671,1248,24155,859,3279,692,56,584,25,2155,613,9543,5605,666,7263,1436,14786,6726,1193,1,5,117,0,944,672
ID,2016,17,9606,3083,130,757,696,7926,493,763,117,83,241,134,4038,209,5651,2813,270,2336,672,6912,3760,574,6,30,47,7,597,257
PA,2018,35,17825,7531,981,5502,1914,21832,487,3693,2492,84,736,158,3156,850,6884,4815,1190,7644,2016,14258,2432,2692,1,88,205,8,1296,982
AR,2018,16,2267,571,5,49,168,2209,422,92,17,40,91,3,124,0,4921,1271,0,146,243,2738,2620,969,0,60,90,3,83,1
LA,2016,31,11004,3114,43,2710,3522,8417,281,2002,2056,209,683,67,4899,97,8763,4839,201,4654,4600,8576,2517,5946,9,437,135,24,3552,351
WI,2018,41,18671,11209,146,4276,1219,24631,2095,3132,346,525,656,36,3592,183,9431,5777,197,9302,1437,15234,6584,1555,3,115,88,1,1856,227
NC,2017,50,23361,10340,279,3295,2279,19242,819,5912,840,187,1316,63,10590,244,20441,12441,779,5628,3373,17492,7354,11746,1,240,332,19,5100,736
DC,2017,2,2331,1067,283,123,99,2511,116,190,472,1,84,1,287,236,1234,954,588,406,225,1730,619,130,0,1,18,0,398,507
IL,2016,45,8964,9235,293,6293,674,16474,462,4737,119,9,714,7,2404,278,6095,7781,800,11224,1072,16580,2613,4446,0,18,301,13,2965,765
NV,2016,18,10225,1873,617,808,1310,4685,743,3888,1447,13,144,11,3291,611,18506,3716,1892,1225,3287,9193,8834,4846,0,103,83,20,3464,1892
CA,2017,155,115873,23794,3541,16547,5199,88365,4867,19929,8452,2851,4404,575,30019,3474,108716,35722,9721,20890,9499,88795,40766,25865,28,1157,1168,198,15928,8998
NV,2018,18,9328,1576,592,1004,1601,5672,683,4224,1109,51,231,30,1510,579,17839,3121,2000,1590,3371,9313,9163,5400,0,50,101,45,1930,2004
VT,2016,11,1570,2217,42,675,583,4068,350,97,60,17,100,1,361,20,668,831,58,1437,290,2509,599,66,0,8,10,0,153,30
AZ,2017,54,18868,12675,1187,2970,2962,22184,609,5009,1053,740,1306,293,6052,1129,42703,18564,3525,7431,5687,42545,11916,12740,4,135,723,294,5078,3352
KY,2018,31,16582,7758,147,3344,1118,13839,434,4822,2832,94,759,28,5615,142,15420,10747,441,7149,1091,14699,4666,11576,0,55,293,22,2871,500
MT,2017,15,2745,1917,13,450,434,4455,408,169,57,123,54,0,452,15,2881,1667,17,1271,413,3665,2189,108,0,105,16,1,191,19
CO,2016,47,20286,13020,1578,7865,4282,32340,2151,2664,2838,279,861,52,4480,1501,26753,12277,3865,18036,4864,34381,17646,4672,42,343,275,32,4518,3844
KS,2017,11,2338,4377,427,3518,252,7520,382,1431,42,86,161,14,981,237,3046,3875,706,4367,259,7317,1407,1851,1,3,80,2,695,583
PA,2016,35,18739,10639,379,4776,1226,22375,727,3832,1992,64,860,189,5230,476,7859,7205,421,6148,800,13379,2737,3516,0,45,142,28,2214,547
WY,2018,7,1944,1155,23,214,1014,2222,159,250,121,738,69,0,567,48,1057,858,51,710,900,1751,1040,163,0,302,3,0,256,49
SD,2017,3,263,285,0,43,9,265,31,171,2,82,7,1,21,0,274,172,0,34,6,185,84,169,1,10,3,0,10,2
MI,2016,39,5977,7920,647,2216,650,14093,428,424,427,38,366,5,1042,637,4371,3347,840,4315,578,9069,2108,777,0,25,43,0,536,850
ME,2016,11,3603,2782,9,1315,122,6470,357,519,52,36,144,6,244,11,1340,1087,11,2361,127,3567,1080,64,0,53,12,0,99,15
MO,2016,18,5365,3849,118,677,1021,6851,330,463,389,181,306,6,1339,84,6797,4254,242,1086,2042,7504,2793,1511,59,53,92,2,628,198
IA,2018,10,5631,3352,371,306,965,7340,540,572,91,56,304,8,974,386,3115,2156,639,1216,1210,4360,2576,114,0,1,36,3,463,642
MD,2018,28,8080,5888,671,2355,6380,12171,338,2355,4236,578,410,9,2164,657,4206,3710,803,2045,1480,7090,1899,1456,0,109,46,2,912,753
IN,2017,37,17944,10524,436,3388,2648,19041,912,5064,2242,210,1109,85,5533,428,14964,8154,1028,3862,3680,13698,8149,5494,11,166,169,57,3374,1023
VT,2018,11,1385,2628,15,659,1007,4700,161,147,25,10,192,1,367,19,436,709,21,1515,114,2274,332,48,1,0,15,2,156,20
NM,2018,25,6423,2207,104,1720,1446,4677,422,2336,953,1294,499,35,1522,139,10511,4684,299,2157,2240,6361,3316,7258,0,672,284,72,1902,505
GA,2016,65,14602,9361,285,6258,2644,18678,474,4783,1800,504,1363,69,5810,249,19117,13416,586,11235,6570,27471,4900,12722,2,213,466,38,4870,540
WA,2018,45,27460,14053,1237,13695,2398,42300,1915,5754,1878,635,1243,53,2774,1258,18106,9077,2320,12637,2218,26787,10166,3045,6,221,167,17,1404,2309
DE,2016,4,3816,714,32,20,312,2469,27,16,1481,327,106,0,225,19,2121,353,24,545,195,1629,729,488,0,0,20,2,238,24
ND,2016,6,1436,307,0,558,148,1877,74,250,28,1,50,0,221,0,633,382,0,465,204,1341,250,218,0,0,8,0,20,0
MS,2018,17,3251,3257,56,1604,232,5080,115,1171,135,137,416,24,1282,89,7759,5536,252,6686,245,5453,1442,11756,3,4,232,34,1356,264
MI,2018,39,6491,7957,443,2641,1029,15580,496,313,195,241,456,12,882,514,3948,3664,648,5512,1029,10631,2077,695,0,126,81,3,585,746
CT,2016,13,1122,1452,164,1046,107,3316,39,143,33,8,39,0,198,163,667,566,225,2492,91,3219,109,252,0,23,16,2,61,222
NC,2016,50,21686,9791,248,3011,3181,16664,866,5765,851,93,1030,99,11561,223,19869,12433,735,5900,4846,18303,7176,12047,113,98,260,26,6358,651
VT,2017,11,1624,2032,43,732,429,3881,216,146,30,32,87,1,387,21,515,848,26,1935,207,2875,384,59,1,1,5,0,145,25
GA,2017,65,15196,9690,240,6280,3108,19918,589,5920,1978,346,1605,97,3679,243,19319,13302,542,11090,8601,28840,5140,12506,36,128,480,41,4706,495
VA,2016,51,7011,6881,114,6362,688,16831,555,1657,112,11,772,25,938,128,6158,5459,142,8494,1058,14659,3376,2475,0,12,124,10,623,144
MN,2017,28,7118,9323,1022,2856,1415,15515,568,3098,892,144,372,5,1130,990,3279,4017,1154,9209,1463,13266,2370,1433,0,103,100,4,819,1160
AL,2016,27,10332,6070,25,1723,204,8376,234,707,486,87,368,59,6933,24,16970,8479,63,4672,680,11520,2798,5993,0,214,325,54,6839,57
HI,2018,4,14518,3792,217,10,15,4806,1302,930,500,0,149,46,10318,205,6232,3833,215,6,60,4466,2972,707,0,2,57,6,1861,219
PA,2017,35,18339,8305,1151,5923,2406,21786,666,5152,2362,213,890,92,3555,981,6847,5670,1168,7487,1700,14309,2399,3439,0,106,189,22,1476,913
KY,2017,31,15872,9250,184,2814,477,13255,403,4387,2480,101,641,23,7323,186,15743,11437,610,6946,502,14658,4758,12113,3,9,223,6,3006,633
