Year,Winner,Breed,Group,Owner
1972,Ch. Chinoe's Adamant James,Spaniel (English Springer),Sporting,Milton E. Prickett
1973,Ch. Acadia Command Performance,Poodle (Standard),Non-Sporting,"Edward Jenner, Jo Ann Sering"
1974,Ch. Gretchenhof Columbia River,Pointer (German Shorthaired),Sporting,Richard P. Smith
1975,Ch. Sir Lancelot of Barvan,Old English Sheepdog,Working,Mr. & Mrs. R. Vanword
1976,Ch. Jo Ni's Red Baron of Crofton,Lakeland Terrier,Terrier,Mrs. V. K. Dickson
1977,Ch. Dersade Bobby's Girl,Sealyham Terrier,Terrier,Pool Forge Kennels
1978,Ch. Cede Higgins,Yorkshire Terrier,Toy,Barbara A. & Charles W. Switzer
1979,Ch. Oak Tree's Irishtocrat,Spaniel (Irish Water),Sporting,Anne E. Snelling
1980,Ch. Innisfree's Sierra Cinnar,Siberian Husky,Working,Kathleen Kanzler
1981,Ch. Dhandys Favorite Woodchuck,Pug,Toy,Robert A. Hauslohner
1982,Ch. St. Aubrey Dragonora of Elsdon,Pekingese,Toy,Anne E. Snelling
1983,Ch. Kabiks The Challenger,Afghan Hound,Hound,Chris & Marguerite Terrell
1984,Ch. Seaward's Blackbeard,Newfoundland,Working,Nell Ayers
1985,Ch. Braeburn's Close Encounter,Scottish Terrier,Terrier,Sonnie & Alan Novick
1986,Ch. Marjetta's National Acclaim,Pointer,Sporting,"Mrs. A. R. Robson, Michael Zollo"
1987,Ch. Covy Tucker Hill's Manhattan,German Shepherd Dog,Herding,"S. Braunstein, J. Firestone"
1988,Ch. Great Elms Prince Charming II,Pomeranian,Toy,"Skip Piazza, Olga Baker"
1989,Ch. Royal Tudor's Wild As The Wind,Doberman Pinscher,Working,"R. & C. Vida, B. Wilhite, A. & S. Korp"
1990,Ch. Wendessa Crown Prince,Pekingese,Toy,Edward B. Jenner
1991,Ch. Whisperwind On A Carousel,Poodle (Standard),Non-Sporting,Dr. & Mrs. Frederick Hartsock
1992,Ch. Registry's Lonesome Dove,Fox Terrier (Wire),Terrier,Marion W. & Samuel B. Lawrence
1993,Ch. Salilyn's Condor,Spaniel (English Springer),Sporting,"D. & R. Herzig, J. Gasow"
1994,Ch. Chidley Willum The Conqueror,Norwich Terrier,Terrier,"Ruth Cooper, Patricia Lussier"
1995,Ch. Gaelforce Postscript,Scottish Terrier,Terrier,"Dr. J. Kinnarney, Dr. V. Huber"
1996,Ch. Clussexx Country Sunrise,Spaniel (Clumber),Sporting,Judith & Richard Zaleski
1997,Ch. Parsifal Di Casa Netzer,Standard Schnauzer,Working,"Rita Holloway, Gabrio Del Torre"
1998,Ch. Fairewood Frolic,Norwich Terrier,Terrier,Sandina Kennels
1999,Ch. Loteki Supernatural Being,Papillon,Toy,John Oulton
2000,Ch. Salilyn 'N Erin's Shameless,Spaniel (English Springer),Sporting,"C. Blain, F. Sunseri, J. Gasow"
2001,Ch. Special Times Just Right,Bichon Frise,Non-Sporting,"C. Ruggles, E. McDonald, F. Werneck"
2002,Ch. Surrey Spice Girl,Poodle (Miniature),Non-Sporting,"Ron L. Scott, Barbara Scott"
2003,Ch. Torums Scarf Michael,Kerry Blue Terrier,Terrier,Marilu Hansen
2004,Ch. Darbydale's All Rise Pouch Cove,Newfoundland,Working,"Peggy Helming, Carol Bernard Bergmann"
2005,Ch. Kan-Point's VJK Autumn Roses,Pointer (German Shorthaired),Sporting,"L. & R. Stark, C. Cronk, V. Nunes-Atkinson"
2006,Ch. Rocky Top's Sundance Kid,Bull Terrier (Colored),Terrier,"Barbara Bishop, W. F. Poole, N. Shepherd, R. P. Pool"
2007,Ch. Felicity's Diamond Jim,Spaniel (English Springer),Sporting,"Teresa Patton, Allen Patton, R. Dehmel, D. Hadsall"
2008,Ch. K-Run's Park Me In First,Beagle (15 Inch),Hound,"Caroline Dowell, Eddie Dziuk, Jon Woodring, Kathy Weich"
2009,Ch. Clussexx Three D Grinchy Glee,Sussex Spaniel,Sporting,"Cecilla Ruggles, Beth Dowd, Scott Sommer"
2010,Ch. Roundtown Mercedes of Maryscot,Scottish Terrier,Terrier,Amelia and Dan Musser
2011,GCH Foxcliffe Hickory Wind,Scottish Deerhound,Hound,"Sally Sweatt, Cecilia L. Dove, and Dr. R. Scott Dove"
2012,GCH Palacegarden Malachy,Pekingese,Toy,"Iris Love, S. Middlebrooks and D. Fitzpatrick"
2013,GCH Banana Joe V Tani Kazari,Affenpinscher,Toy,Mieke Cooijmans
2014,GCH Afterall Painting The Sky,Fox Terrier (Wire),Terrier,"Victor Malzoni Jr., Torie Steele, S & M Olund & D Ryan"
2015,Ch. Tashtins Lookin For Trouble,Beagle (15 Inch),Hound,Eddie Dziuk & Lori Crandlemire & Kaitlyn Crandlemire
2016,GCH Vjk-Myst Garbonita's California Journey,Pointer (German Shorthaired),Sporting,Valerie Atkinson & Alice Manning & Yvonne Hassler-Deterding
2017,Lockenhaus' Rumor Has It V Kenlyn,German Shepherd,Herding,Kent Boyles
