intake_type,condition,age_in,breed,outcome,age_out,sex,intact_out,age,primary_color,secondary_color,breed_1,breed_2,pure,obey,reps_lower,reps_upper,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,time_in_shelter,at_risk,cond,breed_3
stray,normal,8.0,australian shepherd/border collie,adoption,9.0,1,0,senior,tan,black,australian shepherd,border collie,0.0,0.725,13.5,22.0,18.5,22.0,40.0,50.0,111,1,,australian shepherd
stray,injured,11.0,great dane/doberman pinscher,adoption,12.0,1,0,senior,black,white,great dane,doberman pinscher,0.0,0.725,13.5,22.0,29.0,30.0,90.0,130.0,181,1,,other
stray,normal,9.0,chihuahua,adoption,9.0,1,0,senior,brown,white,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,28,1,,chihuahua
public_assist,normal,5.0,brittany,euthanasia,5.0,1,0,adult,brown,white,brittany,brittany,1.0,0.85,5.0,15.0,17.0,21.0,30.0,40.0,10,0,,other
surrender,normal,11.0,pit bull,adoption,11.0,0,0,senior,chocolate,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,21,1,,pit bull
surrender,injured,9.0,pointer/basset hound,adoption,9.0,1,0,senior,white,chocolate,pointer,basset hound,0.0,0.3,53.5,70.0,17.5,19.0,42.0,58.0,61,1,,pointer
stray,normal,5.0,pit bull,adoption,5.0,1,0,adult,white,brown,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,77,1,,pit bull
surrender,normal,12.0,chihuahua/dachshund,adoption,12.0,0,0,senior,black,brown,chihuahua,dachshund,0.0,0.4,33.5,60.0,6.5,9.5,9.0,18.5,41,1,,chihuahua
stray,injured,8.0,chihuahua,adoption,8.0,0,0,adult,red,red,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,27,1,,chihuahua
stray,normal,6.0,pit bull,euthanasia,6.0,1,0,adult,tan,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,37,1,,pit bull
surrender,normal,14.0,chihuahua,adoption,14.0,0,0,senior,brown,tan,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,121,1,,chihuahua
stray,normal,8.0,beagle/labrador retriever,adoption,8.0,0,0,adult,tan,white,beagle,labrador retriever,0.0,0.525,41.0,52.0,17.0,20.0,36.5,55.0,185,1,,beagle
stray,normal,7.0,labrador retriever,adoption,7.0,0,0,adult,black,white,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,18,0,,labrador retriever
surrender,normal,10.0,australian cattle dog,adoption,10.0,0,0,senior,white,tan,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,12,0,,australian cattle dog
stray,normal,10.0,pit bull,adoption,11.0,0,0,senior,blue,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,120,1,,pit bull
surrender,normal,6.0,border collie,adoption,6.0,0,0,adult,black,white,border collie,border collie,1.0,0.95,1.0,4.0,19.0,21.0,40.0,40.0,16,0,,border collie
surrender,normal,7.0,plott hound/mastiff,adoption,7.0,1,0,adult,brown,brindle,plott hound,mastiff,0.0,0.3349290780141842,53.159574468085104,70.51418439716312,23.5,27.0,110.0,122.5,25,1,,other
surrender,normal,5.0,miniature poodle,adoption,5.0,1,0,adult,white,white,miniature poodle,miniature poodle,1.0,0.5698581560283685,25.31914893617021,41.02836879432624,10.0,15.0,20.0,20.0,8,0,,miniature poodle
public_assist,normal,5.0,pit bull,euthanasia,5.0,1,0,adult,blue,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,17,0,,pit bull
stray,normal,6.0,pit bull,euthanasia,7.0,0,0,adult,white,tan,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,65,1,,pit bull
surrender,normal,4.0,border collie,adoption,4.0,0,0,adult,cream,white,border collie,border collie,1.0,0.95,1.0,4.0,19.0,21.0,40.0,40.0,15,0,,border collie
surrender,normal,9.0,pit bull,died,9.0,1,0,senior,tan,tan,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,11,0,,pit bull
stray,normal,7.0,vizsla/beagle,adoption,7.0,0,0,adult,brown,brown,vizsla,beagle,0.0,0.475,43.0,57.5,30.5,41.0,20.0,27.5,12,0,,other
stray,normal,13.0,dachshund,adoption,13.0,1,0,senior,brown,white,dachshund,dachshund,1.0,0.5,26.0,40.0,7.0,10.0,16.0,32.0,31,1,,dachshund
stray,normal,9.0,pit bull,adoption,9.0,1,0,senior,red,red,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,25,1,,pit bull
stray,injured,5.0,fox terrier,adoption,5.0,1,0,adult,brown,white,fox terrier,fox terrier,1.0,0.5,26.0,40.0,13.0,16.0,15.0,20.0,18,0,,fox terrier
stray,normal,8.0,rottweiler,adoption,8.0,1,0,adult,black,tan,rottweiler,rottweiler,1.0,0.95,1.0,4.0,22.0,27.0,90.0,110.0,10,0,,other
surrender,normal,8.0,labrador retriever,adoption,8.0,0,0,adult,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,32,1,,labrador retriever
surrender,normal,7.0,australian cattle dog,adoption,7.0,0,0,adult,tan,tan,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,30,1,,australian cattle dog
stray,normal,6.0,pit bull,euthanasia,6.0,0,0,adult,fawn,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,8,0,,pit bull
stray,normal,5.0,chihuahua,adoption,5.0,1,0,adult,tan,tan,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,136,1,,chihuahua
stray,normal,8.0,pit bull,adoption,8.0,0,0,adult,white,brown,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,186,1,,pit bull
surrender,normal,5.0,labrador retriever,adoption,5.0,0,0,adult,chocolate,chocolate,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,29,1,,labrador retriever
public_assist,normal,4.0,australian cattle dog/german shepherd,adoption,4.0,1,0,adult,red,black,australian cattle dog,german shepherd,0.0,0.95,1.0,4.0,19.5,23.0,55.0,67.5,133,1,,australian cattle dog
stray,normal,9.0,basset hound/pembroke welsh corgi,adoption,9.0,1,0,senior,tan,white,basset hound,pembroke welsh corgi,0.0,0.475,43.0,57.5,15.970588235294118,17.454248366013072,41.46732026143791,53.76143790849673,65,1,,other
public_assist,normal,5.0,labrador retriever,adoption,5.0,0,0,adult,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,50,1,,labrador retriever
stray,injured,7.0,shiba inu,euthanasia,7.0,0,0,adult,black,tan,shiba inu,shiba inu,1.0,0.5,26.0,40.0,13.0,16.0,15.0,30.0,10,0,,other
surrender,normal,3.0,german shepherd,adoption,4.0,1,0,adult,brown,white,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,44,1,,german shepherd
surrender,normal,4.0,chihuahua,adoption,4.0,0,0,adult,black,tan,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,32,1,,chihuahua
surrender,normal,11.0,chihuahua,adoption,11.0,1,0,senior,red,white,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,24,1,,chihuahua
public_assist,normal,4.0,australian cattle dog,euthanasia,4.0,1,0,adult,white,black,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,16,0,,australian cattle dog
surrender,normal,7.0,labrador retriever,adoption,7.0,1,0,adult,chocolate,chocolate,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,44,1,,labrador retriever
surrender,normal,6.0,labrador retriever/pug,adoption,7.0,0,0,adult,red,white,labrador retriever,pug,0.0,0.625,21.0,42.0,15.5,17.5,34.5,51.0,26,1,,labrador retriever
surrender,normal,10.0,australian cattle dog,adoption,10.0,1,0,senior,white,brown,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,8,0,,australian cattle dog
stray,normal,7.0,pointer,adoption,7.0,0,0,adult,white,brown,pointer,pointer,1.0,0.5,26.0,40.0,21.0,24.0,44.0,66.0,45,1,,pointer
surrender,normal,5.0,pit bull,adoption,5.0,1,0,adult,white,brown,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,188,1,,pit bull
stray,normal,7.0,pit bull,adoption,8.0,1,0,adult,black,brindle,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,46,1,,pit bull
surrender,injured,6.0,labrador retriever/saluki,adoption,6.0,1,0,adult,black,black,labrador retriever,saluki,0.0,0.725,13.5,22.0,22.0,26.0,45.0,75.0,34,1,,labrador retriever
public_assist,normal,7.0,siberian husky,euthanasia,7.0,0,0,adult,brown,brown,siberian husky,siberian husky,1.0,0.5,26.0,40.0,20.0,23.0,40.0,60.0,19,0,,siberian husky
